City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (C),Wind Speed (mph)
73,jambi,ID,2023-02-07 17:34:02,-1.6,103.6167,100,98,23.11,1.01
74,ushuaia,AR,2023-02-07 17:30:17,-54.8,-68.3,20,47,12.81,2.06
75,mahebourg,MU,2023-02-07 17:34:03,-20.4081,57.7,75,78,26.16,4.63
76,uribia,CO,2023-02-07 17:34:04,11.7139,-72.266,10,61,27.1,9.57
77,saint george,US,2023-02-07 17:30:38,37.1041,-113.5841,0,34,11.81,0.89
78,altos,BR,2023-02-07 17:34:11,-5.0381,-42.46,98,96,24.17,1.94
79,half moon bay,US,2023-02-07 17:32:59,37.4636,-122.4286,0,63,17.73,5.66
80,illoqqortoormiut,,,,,,,,
81,urdzhar,,,,,,,,
82,warrnambool,AU,2023-02-07 17:34:14,-38.3833,142.4833,81,71,16.22,5.59
83,taltal,CL,2023-02-07 17:25:40,-25.4,-70.4833,62,74,22.74,3.06
84,airai,TL,2023-02-07 17:33:53,-8.9266,125.4092,93,90,17.82,0.72
85,hermanus,ZA,2023-02-07 17:29:55,-34.4187,19.2345,62,80,20.45,5.69
86,san patricio,US,2023-02-07 17:34:17,28.017,-97.5169,99,75,25.97,8.56
87,nemuro,JP,2023-02-07 17:34:19,43.3236,145.575,62,74,-4.29,3.12
88,katsuura,JP,2023-02-07 17:34:22,35.1333,140.3,98,79,10.34,8.18
89,norman wells,CA,2023-02-07 17:34:23,65.282,-126.8329,75,71,-21.98,0
90,salamiyah,SY,2023-02-07 17:34:27,35.0113,37.0532,59,93,2.73,8.47
91,dikson,RU,2023-02-07 17:34:29,73.5069,80.5464,100,92,-24.33,9.07
92,tumannyy,,,,,,,,
93,ambilobe,MG,2023-02-07 17:34:38,-13.2,49.05,99,96,22.67,0.8
94,edd,ER,2023-02-07 17:34:38,13.9297,41.6925,6,73,24.78,2.06
95,arraial do cabo,BR,2023-02-07 17:34:39,-22.9661,-42.0278,75,100,22.92,2.57
96,castro,BR,2023-02-07 17:32:28,-24.7911,-50.0119,11,92,18.11,2.51
97,camocim,BR,2023-02-07 17:34:40,-2.9022,-40.8411,99,86,25.27,4.74
98,vila velha,BR,2023-02-07 17:34:40,-20.3297,-40.2925,40,88,26.97,6.17
99,leningradskiy,RU,2023-02-07 17:29:45,69.3833,178.4167,100,96,-31.87,2.5
100,corn island,NI,2023-02-07 17:34:41,12.1694,-83.0418,8,80,26.47,8.99
101,castelo do piaui,BR,2023-02-07 17:34:41,-5.3222,-41.5525,98,98,21.85,1.89
102,grand-santi,GF,2023-02-07 17:34:43,4.25,-54.3833,19,99,22.44,1.34
103,mount gambier,AU,2023-02-07 17:33:47,-37.8333,140.7667,4,62,17.07,4.25
104,tingrela,,,,,,,,
105,vostok,RU,2023-02-07 17:34:44,46.4856,135.8833,100,98,-17.72,1.48
106,taolanaro,,,,,,,,
107,ilulissat,GL,2023-02-07 17:34:45,69.2167,-51.1,100,77,-22.99,4.12
108,lubao,PH,2023-02-07 17:25:41,14.9167,120.55,98,90,25.04,2.06
109,nanortalik,GL,2023-02-07 17:34:46,60.1432,-45.2371,35,68,-15.04,9.83
110,wahran,,,,,,,,
111,caravelas,BR,2023-02-07 17:34:46,-17.7125,-39.2481,1,82,25.58,3.83
112,dagana,MR,2023-02-07 17:34:47,16.5165,-15.5068,53,17,22.12,4.76
113,mahajanga,MG,2023-02-07 17:34:47,-15.7167,46.3167,20,88,25.01,2.57
114,west fargo,US,2023-02-07 17:31:17,46.875,-96.9004,0,79,1.12,5.14
115,klaksvik,FO,2023-02-07 17:34:48,62.2266,-6.589,100,85,8.51,24.43
116,novyy urengoy,RU,2023-02-07 17:34:48,66.0833,76.6333,100,100,-25.18,3.31
117,shelburne,CA,2023-02-07 17:31:34,44.0787,-80.2041,94,97,3.42,7.97
118,ndele,CF,2023-02-07 17:34:49,8.4109,20.6473,37,14,24.69,3.27
119,thompson,CA,2023-02-07 17:31:12,55.7435,-97.8558,100,85,-16.91,2.06
120,oranjemund,NA,2023-02-07 17:34:49,-28.55,16.4333,79,93,17.45,6.44
121,viedma,AR,2023-02-07 17:34:50,-40.8135,-62.9967,15,63,22.32,5.54
122,hilo,US,2023-02-07 17:33:51,19.7297,-155.09,100,96,22.85,2.24
123,opuwo,NA,2023-02-07 17:34:51,-18.0607,13.84,98,53,19.41,2.94
124,muisne,EC,2023-02-07 17:34:51,0.6,-80.0333,8,82,26.41,3.54
125,carnarvon,AU,2023-02-07 17:34:52,-24.8667,113.6333,0,66,25.04,7.79
126,zastron,ZA,2023-02-07 17:34:52,-30.3023,27.084,99,79,16.46,2.29
127,ixtapa,MX,2023-02-07 17:30:59,20.7,-105.2,0,73,23.57,5.66
128,marcona,,,,,,,,
129,attawapiskat,,,,,,,,
130,saleaula,,,,,,,,
131,bosaso,SO,2023-02-07 17:34:53,11.2842,49.1816,54,82,23.29,1.1
132,karratha,AU,2023-02-07 17:25:45,-20.7377,116.8463,35,62,29.53,1.08
133,port alfred,ZA,2023-02-07 17:34:54,-33.5906,26.891,100,92,20.66,0.89
134,vinh long,VN,2023-02-07 17:30:07,10.25,105.9667,85,97,22.99,2.08
135,chuy,UY,2023-02-07 17:34:55,-33.6971,-53.4616,15,72,23.19,5.19
136,butaritari,KI,2023-02-07 17:32:45,3.0707,172.7902,100,80,27.28,9.91
137,kabalo,CD,2023-02-07 17:34:55,-6.05,26.9167,100,98,19.71,0.94
138,kahului,US,2023-02-07 17:34:56,20.8947,-156.47,40,75,27.76,11.32
139,cherskiy,RU,2023-02-07 17:34:56,68.75,161.3,100,98,-35.73,2.46
140,pacific grove,US,2023-02-07 17:34:57,36.6177,-121.9166,0,71,16.82,2.68
141,vardo,NO,2023-02-07 17:34:57,70.3705,31.1107,100,86,-0.01,14.4
142,veydelevka,RU,2023-02-07 17:34:57,50.1521,38.4492,7,89,-10.33,5.32
143,williams lake,CA,2023-02-07 17:31:10,52.1415,-122.1445,75,56,6.76,8.23
144,havre-saint-pierre,CA,2023-02-07 17:25:06,50.2334,-63.5986,34,85,-12.77,3.12
145,gigmoto,PH,2023-02-07 17:34:58,13.7796,124.39,100,84,25.78,5.07
146,sao felix do xingu,BR,2023-02-07 17:34:58,-6.6447,-51.995,83,92,23.57,0.6
147,azimur,,,,,,,,
148,mandera,KE,2023-02-07 17:34:59,3.9366,41.867,3,31,27.97,2.04
149,mildura,AU,2023-02-07 17:34:59,-34.2,142.15,0,58,21.15,6.02
150,gravdal,NO,2023-02-07 17:35:00,68.1214,13.5031,40,81,4.94,6.69
151,tecoanapa,MX,2023-02-07 17:33:58,16.5167,-98.75,2,61,27.97,4.89
152,bilma,NE,2023-02-07 17:35:00,18.6853,12.9164,85,20,20.56,3.38
153,sistranda,NO,2023-02-07 17:35:01,63.7256,8.834,78,84,2.98,7.86
154,necochea,AR,2023-02-07 17:35:02,-38.5473,-58.7368,26,72,23.68,9.18
155,grand river south east,,,,,,,,
156,lahan,NP,2023-02-07 17:35:04,26.7296,86.4951,1,57,14.35,1.87
157,sao joaquim,BR,2023-02-07 17:35:06,-28.2939,-49.9317,51,86,15.82,2.55
158,san andres,CO,2023-02-07 17:35:09,12.5847,-81.7006,20,74,28.01,7.72
159,hithadhoo,MV,2023-02-07 17:35:11,-0.6,73.0833,68,70,27.23,3.82
160,tokur,RU,2023-02-07 17:35:12,53.1333,132.9,100,100,-40.09,1.17
161,viesca,MX,2023-02-07 17:35:18,25.35,-102.8,55,11,28.37,4.02
162,saint-philippe,RE,2023-02-07 17:35:20,-21.3585,55.7679,82,83,25.77,6.31
163,adwa,ET,2023-02-07 17:35:23,14.1646,38.8955,1,67,15.71,1.56
